event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
19,12.02.2025,19:20,RA-66778,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Шереметьево,Нет,
20,2025-02-15,08:05,VQ-BAK,-,Нарушение процедуры,АПС,Перрон 3,Внуково,Минимальные,Выявлено нарушение требований безопасности
21,2025-02-17,17:30,RA-77889,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 11,Шереметьево,Нет,Нарушение порядка передачи воздушного судна
22,17.02.2025,0835,VQ-BAL,аэрофлот,Повреждение ВС,АПС,Перрон 4,Шереметьево,Минимальные,Выявлена царапина на элементе конструкции
23,2025/02/20,12:25,RA-88990,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен посторонний предмет на полосе движения
24,2025-02-22,21:10,VQ-BAM,S7,Нарушение процедуры,АПС,Стоянка 15,Шереметьево,Незначительные,Нарушение требований при выполнении работ
25,22.02.2025,06:40,RA-99001,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение обнаружено после обслуживания
26,2025-02-25,14:15,VQ-BAN,Победаа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Несоблюдение установленного порядка
27,25/02/2025,1945,RA-10101,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Обнаружен мусор возле воздушного судна
28,2025-02-27,10:30,VQ-BAO,РОССИЯ ,Нарушение процедуры,АПС,Стоянка 7,Домодедово,Незначительные,Выявлено нарушение процедуры контроля
29,27.02.2025,15.50,RA-11111,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Шереметьево,Нет,Обнаружено повреждение обшивки
30,2025-03-01,23:00,VQ-BAP,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Обнаружено несоответствие документации
31,2025-03-03,08:20,RA-12121,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Домодедово,Нет,Повреждение при буксировке воздушного судна
32,03.03.2025,12:00,VQ-BAQ,S7 airlines,Нарушение процедуры,АПС,Перрон 5,Шереметьево,Незначительные,Нарушение регламента обслуживания
33,2025/03/05,1740,RA-13131,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Внуково,Нет,Обнаружен инструмент после работ
34,2025-03-07,09:15,VQ-BAR,победа,Повреждение ВС,АПС,Стоянка 10,Внуково,Минимальные,Обнаружено повреждение покрытия
35,07.03.2025,20:30,RA-14141,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,Перрон 12,Домодедово,Нет,Зафиксировано нарушение порядка работ
36,2025-03-10,07:10,VQ-BAS,Уральские авиалинии ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Обнаружено отклонение от инструкции
37,2025-03-12,16:45,RA-15151,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,РД-5,Шереметьево,Нет,Обнаружен предмет на маршруте движения
38,12.03.2025,0645,VQ-BAT,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Выявлено повреждение после стоянки
39,2025-03-15,18:30,RA-16161,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 11,Домодедово,Незначительные,Нарушен порядок выполнения операций
40,2025-03-17,11:55,VQ-BAU,C7,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен посторонний объект
41,2025-03-19,13:25,RA-17171,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Шереметьево,Нет,Выявлено повреждение при внешнем осмотре
42,19.03.2025,0720,VQ-BAV, аэрофлот ,Нарушение процедуры,АПС,Стоянка 4,Шереметьево,Минимальные,Нарушен порядок заполнения документации
43,2025/03/22,16:40,RA-18181,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Обнаружен посторонний объект возле ВС
44,2025-03-24,22:15,VQ-BAW,S7 airlines,Повреждение ВС,АПС,Перрон 5,Шереметьево,Нет,Обнаружена деформация элемента
45,24.03.2025,05:50,RA-19191,Победа,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 3,Внуково,Незначительные,Выявлено отклонение от процедуры
46,2025-03-27,14:35,VQ-BAX,Победаа,Нарушение процедуры,АПС,Перрон 9,Внуково,Минимальные,Нарушение требований безопасности
47,27/03/2025,2010,RA-20202,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение панели
48,2025-03-29,09:45,VQ-BAY,РОССИЯ,Посторонний предмет,АПС,РД-4,Домодедово,Нет,Обнаружен инструмент на территории
49,29.03.2025,18.20,RA-21212,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Шереметьево,Незначительные,Выявлено несоблюдение инструкции
50,2025-04-01,23:30,VQ-BAZ,Аэрофлoт,Повреждение ВС,АПС,Стоянка 6,Шереметьево,Нет,Обнаружено повреждение после обслуживания
51,2025-04-03,08:15,RA-22222,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Обнаружен посторонний предмет
52,03.04.2025,13:45,VQ-BBA,S7,Отклонение от регламента,АПС,Перрон 8,Шереметьево,Минимальные,Обнаружено нарушение требований
53,2025/04/05,1745,RA-23232,Победа,Повреждение ВС,Аэродромно-производственное событие,Стоянка 12,Внуково,Нет,Выявлено повреждение при обслуживании
54,2025-04-07,10:25,VQ-BBB,победа,Нарушение процедуры,АПС,Перрон 6,Внуково,Незначительные,Нарушен порядок проведения работ
55,07.04.2025,19:35,RA-24242,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-1,Домодедово,Нет,Обнаружен мусор на маршруте движения
56,2025-04-10,06:30,VQ-BBC,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Минимальные,Обнаружена царапина корпуса
57,2025-04-12,15:20,RA-25252,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Перрон 2,Шереметьево,Нет,Выявлено несоответствие требованиям
58,12.04.2025,2210,VQ-BBD,АЭРОФЛОТ,Нарушение процедуры,АПС,Стоянка 5,Шереметьево,Незначительные,Нарушение порядка выполнения операций
59,2025-04-15,11:40,RA-26262,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Повреждение при перемещении оборудования
60,2025-04-17,17:55,VQ-BBE,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен предмет возле воздушного судна
61,2025-04-19,09:10,RA-27272,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Шереметьево,Нет,Обнаружено повреждение при техническом осмотре
62,19.04.2025,1435,VQ-BBF,аэрофлот ,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушен порядок проведения проверки
63,2025/04/22,18:25,RA-28282,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-2,Домодедово,Нет,Обнаружен посторонний объект на покрытии
64,2025-04-24,23:50,VQ-BBG,S7 airlines,Отклонение от регламента,АПС,Перрон 10,Шереметьево,Незначительные,Выявлено отклонение от инструкции
65,24.04.2025,07:35,RA-29292,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждена защитная панель
66,2025-04-27,12:45,VQ-BBH,Победаа,Нарушение процедуры,АПС,Стоянка 4,Внуково,Минимальные,Не выполнен обязательный контроль
67,27/04/2025,1640,RA-30303,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Обнаружен предмет возле стойки обслуживания
68,2025-04-29,21:15,VQ-BBI,РОССИЯ ,Повреждение ВС,АПС,Перрон 9,Домодедово,Нет,Обнаружено повреждение внешней поверхности
69,29.04.2025,05.25,RA-31313,Aeroflot,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 7,Шереметьево,Минимальные,Выявлено нарушение требований
70,2025-05-01,13:00,VQ-BBJ,Аэрофлoт,Нарушение процедуры,АПС,Перрон 12,Шереметьево,Незначительные,Нарушена последовательность действий
71,2025-05-03,08:50,RA-32323,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Выявлено повреждение обшивки
72,03.05.2025,1745,VQ-BBK,S7,Посторонний предмет,АПС,РД-3,Шереметьево,Нет,Обнаружен посторонний объект
73,2025/05/05,1120,RA-33333,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Внуково,Минимальные,Нарушение правил обслуживания
74,2025-05-07,19:30,VQ-BBL,победа,Отклонение от регламента,АПС,Стоянка 9,Внуково,Нет,Обнаружено несоответствие документации
75,07.05.2025,0640,RA-34343,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Перрон 11,Домодедово,Нет,Повреждение обнаружено после буксировки
76,2025-05-10,14:55,VQ-BBM,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 2,Шереметьево,Минимальные,Обнаружен инструмент после выполнения работ
77,2025-05-12,22:20,RA-35353,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 5,Шереметьево,Незначительные,Нарушен порядок оформления документов
78,12.05.2025,1030,VQ-BBN,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 3,Шереметьево,Нет,Выявлено повреждение при осмотре
79,2025-05-15,16:15,RA-36363,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-5,Домодедово,Нет,Обнаружен мусор в зоне движения
80,2025-05-17,20:45,VQ-BBO,C7,Нарушение процедуры,АПС,Перрон 6,Внуково,Незначительные,Нарушены требования безопасности
81,2025-05-19,07:25,RA-37373,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружено повреждение при подготовке к вылету
82,19.05.2025,1540,VQ-BBP, аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Выявлено нарушение порядка контроля
83,2025/05/22,18:10,RA-38383,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Обнаружен посторонний предмет возле ВС
84,2025-05-24,23:15,VQ-BBQ,S7 airlines,Повреждение ВС,АПС,Перрон 9,Шереметьево,Нет,Повреждение выявлено после посадки
85,24.05.2025,06:20,RA-39393,Победа,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 6,Внуково,Минимальные,Зафиксировано несоответствие требованиям
86,2025-05-27,12:30,VQ-BBR,Победаа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушен порядок проведения работ
87,27/05/2025,1945,RA-40404,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Шереметьево,Нет,Обнаружена деформация панели
88,2025-05-29,09:35,VQ-BBS,РОССИЯ ,Посторонний предмет,АПС,РД-1,Домодедово,Нет,Обнаружен посторонний объект на территории
89,29.05.2025,17.20,RA-41414,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Выявлено нарушение инструкции
90,2025-06-01,22:50,VQ-BBT,Аэрофлoт,Повреждение ВС,АПС,Стоянка 3,Шереметьево,Нет,Выявлено повреждение при осмотре
91,2025-06-03,08:40,RA-42424,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 11,Домодедово,Нет,Обнаружен предмет возле воздушного судна
92,03.06.2025,13:25,VQ-BBU,S7,Отклонение от регламента,АПС,Перрон 1,Шереметьево,Минимальные,Выявлено отклонение от установленного процесса
93,2025/06/05,1755,RA-43434,Победа,Повреждение ВС,Аэродромно-производственное событие,Стоянка 12,Внуково,Нет,Повреждён элемент конструкции
94,2025-06-07,10:15,VQ-BBV,победа,Нарушение процедуры,АПС,Перрон 6,Внуково,Незначительные,Нарушение требований безопасности
95,07.06.2025,21:30,RA-44444,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-2,Домодедово,Нет,Обнаружен посторонний объект
96,2025-06-10,06:55,VQ-BBW,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 10,Шереметьево,Минимальные,Обнаружено повреждение корпуса
97,2025-06-12,15:05,RA-45454,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 5,Шереметьево,Нет,Нарушен порядок выполнения операций
98,12.06.2025,2240,VQ-BBX,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 3,Шереметьево,Минимальные,Выявлено несоответствие документации
99,2025-06-15,11:20,RA-46464,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Обнаружено повреждение при обслуживании
100,2025-06-17,18:35,VQ-BBY,C7,Посторонний предмет,АПС,Перрон 4,Внуково,Нет,Обнаружен предмет после завершения работ
101,2025-06-19,09:45,RA-47474,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Шереметьево,Незначительные,Нарушен порядок проверки
102,19.06.2025,1430,VQ-BBZ,аэрофлот,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Обнаружено повреждение покрытия
103,2025/06/22,20:15,RA-48484,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение от инструкции
104,2025-06-24,07:30,VQ-BCA,S7 airlines,Посторонний предмет,АПС,Перрон 9,Шереметьево,Нет,Обнаружен посторонний объект
105,24.06.2025,16:50,RA-49494,Победа,Повреждение ВС,Аэродромно-производственное событие,Стоянка 4,Внуково,Нет,Обнаружена царапина на обшивке
106,2025-06-27,22:05,VQ-BCB,Победаа,Нарушение процедуры,АПС,Перрон 12,Внуково,Незначительные,Не соблюден порядок обслуживания
107,27/06/2025,08:10,RA-50505,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Обнаружен инструмент
108,2025-06-29,14:25,VQ-BCC,РОССИЯ ,Отклонение от регламента,АПС,Перрон 2,Домодедово,Минимальные,Выявлено несоответствие
109,29.06.2025,19.40,RA-51515,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 7,Шереметьево,Нет,Нарушена процедура контроля
110,2025-07-01,05:55,VQ-BCD,Аэрофлoт,Повреждение ВС,АПС,Перрон 1,Шереметьево,Нет,Повреждение выявлено при проверке
111,2025-07-03,12:35,RA-52525,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен предмет на стоянке
112,03.07.2025,1745,VQ-BCE,S7,Нарушение процедуры,АПС,РД-4,Шереметьево,Минимальные,Нарушен порядок выполнения операций
113,2025/07/05,23:10,RA-53535,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Внуково,Нет,Выявлено повреждение элемента
114,2025-07-07,10:00,VQ-BCF,победа,Отклонение от регламента,АПС,Стоянка 9,Внуково,Незначительные,Обнаружено нарушение требований
115,07.07.2025,18:20,RA-54545,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,Перрон 11,Домодедово,Нет,Обнаружен объект на территории
116,2025-07-10,07:35,VQ-BCG,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 3,Шереметьево,Нет,Повреждение обнаружено после работ
117,2025-07-12,15:50,RA-55555,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Нарушены требования проверки
118,12.07.2025,2215,VQ-BCH,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 5,Шереметьево,Нет,Обнаружен посторонний объект
119,2025-07-15,09:25,RA-56565,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Повреждение обнаружено при осмотре
120,2025-07-17,16:40,VQ-BCI,C7,Нарушение процедуры,АПС,Перрон 4,Внуково,Незначительные,Нарушение установленного порядка
121,2025-07-19,08:05,RA-57575,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Перрон 9,Шереметьево,Минимальные,Выявлено отклонение
122,19.07.2025,1330,VQ-BCJ,аэрофлот,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение
123,2025/07/22,1740,RA-58585,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-5,Домодедово,Нет,Обнаружен предмет
124,2025-07-24,22:30,VQ-BCK,S7 airlines,Нарушение процедуры,АПС,Перрон 2,Шереметьево,Незначительные,Нарушение процедуры
125,24.07.2025,06:15,RA-59595,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 12,Внуково,Нет,Повреждение конструкции
126,2025-07-27,14:50,VQ-BCL,Победаа,Посторонний предмет,АПС,Перрон 6,Внуково,Нет,Обнаружен объект
127,27/07/2025,2015,RA-60606,Россия,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 5,Шереметьево,Минимальные,Нарушены требования
128,2025-07-29,11:45,VQ-BCM,РОССИЯ ,Повреждение ВС,АПС,Перрон 8,Домодедово,Нет,Выявлено повреждение
129,29.07.2025,18.25,RA-61616,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 1,Шереметьево,Нет,Обнаружен посторонний предмет
130,2025-08-01,23:55,VQ-BCN,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Выявлено нарушение требований
131,2025-08-03,08:35,RA-62626,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Домодедово,Нет,Обнаружено повреждение при подготовке рейса
132,03.08.2025,1445,VQ-BCO,S7,Нарушение процедуры,АПС,Стоянка 7,Шереметьево,Минимальные,Нарушен порядок проведения контроля
133,2025/08/05,19:20,RA-63636,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Внуково,Нет,Обнаружен посторонний объект возле ВС
134,2025-08-07,06:50,VQ-BCP,победа,Повреждение ВС,АПС,Перрон 9,Внуково,Нет,Выявлено повреждение элемента обшивки
135,07.08.2025,12:15,RA-64646,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 11,Домодедово,Незначительные,Нарушение порядка обслуживания
136,2025-08-10,17:40,VQ-BCQ,Уральские авиалинии ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Обнаружено несоответствие инструкции
137,2025-08-12,23:05,RA-65656,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,РД-3,Шереметьево,Нет,Обнаружен предмет на маршруте движения
138,12.08.2025,09.30,VQ-BCR,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 10,Шереметьево,Нет,Повреждение выявлено после стоянки
139,2025-08-15,15:25,RA-66666,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 6,Домодедово,Незначительные,Нарушен порядок оформления документов
140,2025-08-17,20:45,VQ-BCS,C7,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен посторонний предмет
141,2025-08-19,07:20,RA-67676,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Выявлено повреждение при осмотре
142,19.08.2025,1325,VQ-BCT, аэрофлот ,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушение требований безопасности
143,2025/08/22,18:40,RA-68686,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 4,Домодедово,Нет,Выявлено отклонение от регламента
144,2025-08-24,22:10,VQ-BCU,S7 airlines,Повреждение ВС,АПС,Перрон 12,Шереметьево,Нет,Обнаружено повреждение панели
145,24.08.2025,05:45,RA-69696,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 5,Внуково,Незначительные,Нарушение процедуры контроля
146,2025-08-27,14:30,VQ-BCV,Победаа,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен инструмент
147,27/08/2025,20:05,RA-70707,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Повреждение обнаружено после обслуживания
148,2025-08-29,10:50,VQ-BCW,РОССИЯ ,Отклонение от регламента,АПС,РД-1,Домодедово,Минимальные,Несоответствие требованиям
149,29.08.2025,16.35,RA-71717,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 11,Шереметьево,Нет,Нарушение порядка выполнения работ
150,2025-09-01,23:25,VQ-BCX,Аэрофлoт,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Выявлено повреждение конструкции
151,2025-09-03,08:10,RA-72727,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Стоянка 9,Домодедово,Нет,Обнаружен посторонний объект
152,03.09.2025,1515,VQ-BCY,S7,Нарушение процедуры,АПС,Перрон 1,Шереметьево,Минимальные,Нарушен порядок работ
153,2025/09/05,19:50,RA-73737,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Внуково,Нет,Повреждена внешняя поверхность
154,2025-09-07,07:05,VQ-BCZ,победа,Отклонение от регламента,АПС,Стоянка 12,Внуково,Минимальные,Выявлено отклонение
155,07.09.2025,13:40,RA-74747,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Домодедово,Нет,Обнаружен предмет
156,2025-09-10,18:55,VQ-BDA,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение процедуры обслуживания
157,2025-09-12,22:30,RA-75757,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Повреждение обнаружено при проверке
158,12.09.2025,0640,VQ-BDB,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 2,Шереметьево,Нет,Обнаружен объект рядом с ВС
159,2025-09-15,11:25,RA-76767,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Нарушены требования
160,2025-09-17,17:35,VQ-BDC,C7,Отклонение от регламента,АПС,Перрон 9,Внуково,Нет,Выявлено несоответствие
161,2025-09-19,09:05,RA-77777,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 3,Шереметьево,Нет,Обнаружено повреждение
162,19.09.2025,1450,VQ-BDD,аэрофлот,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушен порядок контроля
163,2025/09/22,20:20,RA-78787,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен предмет
164,2025-09-24,06:35,VQ-BDE,S7 airlines,Повреждение ВС,АПС,Перрон 8,Шереметьево,Нет,Повреждена панель
165,24.09.2025,12:50,RA-79797,Победа,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 7,Внуково,Незначительные,Нарушение регламента
166,2025-09-27,18:15,VQ-BDF,Победаа,Посторонний предмет,АПС,Перрон 11,Внуково,Нет,Обнаружен объект
167,27/09/2025,23:40,RA-80808,Россия,Отклонение от регламента,Аэродромно-производственное событие,РД-5,Шереметьево,Минимальные,Отклонение от процедуры
168,2025-09-29,10:05,VQ-BDG,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Обнаружено повреждение
169,29.09.2025,16.45,RA-81818,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 6,Шереметьево,Нет,Обнаружен посторонний предмет
170,2025-10-01,21:55,VQ-BDH,Аэрофлoт,Нарушение процедуры,АПС,Стоянка 3,Шереметьево,Незначительные,Нарушение порядка работ
171,2025-10-03,08:25,RA-82828,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Повреждение выявлено
172,03.10.2025,1530,VQ-BDI,S7,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен предмет
173,2025/10/05,1940,RA-83838,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Нарушены правила
174,2025-10-07,07:15,VQ-BDJ,победа,Отклонение от регламента,АПС,Стоянка 9,Внуково,Нет,Выявлено отклонение
175,07.10.2025,13:55,RA-84848,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,Перрон 12,Домодедово,Нет,Обнаружено повреждение
176,2025-10-10,18:20,VQ-BDK,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 7,Шереметьево,Нет,Обнаружен объект
177,2025-10-12,22:45,RA-85858,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 2,Шереметьево,Минимальные,Нарушение порядка
178,12.10.2025,0645,VQ-BDL,АЭРОФЛОТ,Повреждение ВС,АПС,Стоянка 5,Шереметьево,Нет,Выявлено повреждение
179,2025-10-15,11:35,RA-86868,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Домодедово,Минимальные,Несоответствие требованиям
180,2025-10-17,17:50,VQ-BDM,C7,Нарушение процедуры,АПС,Перрон 3,Внуково,Незначительные,Нарушение процедуры
